Date,Description,Misc.,Invoices,Tax Refund,Transfers
08/10/2022,Transfer from xx1279 NetBank Business Transacti,,,,2000.0
12/11/2022,Return  Home Loan,4420.0,,,
,Transfer from xx1279 CommBank app Everyday Offset  ,,,,5000.0
15/12/2022,Transfer from xx4569 CommBank app Netbank,25000.0,,,
31/12/2022,Transfer from xx4569 NetBank Netbank Saver,,,,10000.0
,Fast Transfer From HUA CHEN LI Hua Chen Li,10000.0,,,
