Date,Description,Misc.,Invoices,Tax Refund,Transfers
24/01/2023,Mastercard Payment,,,,1300.0
27/01/2023,Mastercard Payment,,,,1000.0
14/02/2023,Mastercard Payment,,,,2500.0
27/02/2023,Mastercard Payment,,,,700.0
,Mastercard Payment,,,,700.0
28/02/2023,Mastercard Payment,,,,17000.0
10/03/2023,"PAYMENT RECEIVED, THANK YOU",,,,6000.0
