Date,Description,Misc.,Invoices,Tax Refund,Transfers
25/01/2023,Fast Transfer From DONG LENG INV0260 INV0260,,1919.5,,
07/02/2023,Everkeen CREDIT TO ACCOUNT INV0262,,1965.0,,
17/02/2023,Direct Credit 141000 EVERKEEN INV0263,,330.0,,
05/03/2023,Transfer from CBA NetBank INV0264,1498.38,,,
10/03/2023,Transfer from CommBank app Business,3000.0,,,
15/03/2023,Transfer from CommBank app BusinessAcc,3500.0,,,
,Transfer from CommBank app BusinessAcc,700.0,,,
,Transfer from CommBank app Business Acc,100.0,,,
16/03/2023,DEPOSIT CASH $0.00 CHEQUE $20464.01 Branch COBURG,20464.01,,,
