28/04/2023,"-123.90","DR BILGE BABACAN         BRUNSWICK   VIC",""
28/04/2023,"-30.00","Belong 1300235664        Sydney      NSW",""
27/04/2023,"-47.39","EG GROUP        3965     COBURG NORTHAUS",""
27/04/2023,"-45.00","HEALTHY PETS PLUS        CHATSWOOD   NSW",""
26/04/2023,"-3.30","MELB ONSTREET PARKING    MELBOURNE",""
26/04/2023,"-113.81","BRUNSWICK SUPA IGA       BRUNSWICK",""
24/04/2023,"-74.44","EG GROUP        3476     FRANKSTON   AUS",""
21/04/2023,"-62.61","EG GROUP        3965     COBURG NORTHAUS",""
20/04/2023,"-31.25","KMART 1085               BRUNSWICK   AUS",""
19/04/2023,"-83.08","7-ELEVEN 1312            NUNAWADING  VIC",""
19/04/2023,"-25.00","Belong 1300235664        Sydney      NSW",""
19/04/2023,"-220.00","ALLISON BROWNING         BRUNSWICK   VIC",""
18/04/2023,"-1468.20","GREENCROSS VETS          COBURG      VIC",""
17/04/2023,"-73.48","CHEMIST WAREHOUSE        COBURG      VIC",""
14/04/2023,"-38.76","COLES EXPRESS 6729       DONCASTER   AUS",""
14/04/2023,"-59.00","XERO AU INV-27552432     HAWTHORN    VIC",""
14/04/2023,"-68.65","INTEREST CHARGES",""
14/04/2023,"-107.90","BRUNSWICK SUPA IGA       BRUNSWICK",""
13/04/2023,"-15.00","WILSON PARKING MEL252    MELBOURNE   VIC",""
13/04/2023,"-77.11","COLES EXPRESS 6742       CLIFTON HILLAUS",""
12/04/2023,"+4421.59","PAYMENT RECEIVED, THANK YOU MasterCardPayment",""
11/04/2023,"-145.60","WOOLWORTHS      3121     PRESTON     AUS",""
11/04/2023,"-120.88","HOLLARD INSURANCE        CHATSWOOD",""
06/04/2023,"-81.29","METRO PETROLEUM CARLTO   CARLTON     AUS",""
06/04/2023,"-220.00","ALLISON BROWNING         BRUNSWICK   VIC",""
06/04/2023,"-118.04","BRUNSWICK SUPA IGA       BRUNSWICK",""
05/04/2023,"-30.60","GREENCROSS VETS          COBURG      VIC",""
03/04/2023,"-1383.10","RACV                     MELBOURNE   VIC",""
02/04/2023,"-74.75","COLES EXPRESS 6976       GLEN WAVERLEAUS",""
02/04/2023,"-50.56","EG GROUP        3026     PRESTON     AUS",""
01/04/2023,"-220.00","ALLISON BROWNING         BRUNSWICK   VIC",""
01/04/2023,"-18.00","KMART 1085               BRUNSWICK   AUS",""
